Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRS1993078	27225716.0	0.0	27225716.0	0.0	13612858.0	13612858.0	22852651.0	22460940.0	4373065.0	18532452.0	27225716.0	0.0	823677.0	0.0	0.0	68568.0	3408675157.0	1704285521.0	1704389636.0	2861544842.0	2838601214.0	0.0	0.0	22983759.0	0.008096861	125.0	125.0	125.0	126.0	126.0	126.0	36.2	560.8	211.3	10772417.0	47075.0	10209.0	400769.0	68.1	83.93774106804022	82.49898735445562	16.062258931959768	68.06965884753959	100.0	0.0	3.025363961043302	0.0
SRS1993092	37581958.0	0.0	37581958.0	0.0	18790979.0	18790979.0	24184307.0	23669006.0	13397651.0	21262690.0	37581958.0	0.0	221962.0	0.0	0.0	92998.0	4699912604.0	2349913908.0	2349998696.0	3025239379.0	2991434615.0	0.0	0.0	32908001.0	0.01100074	125.0	125.0	125.0	126.0	126.0	126.0	36.4	493.0	193.2	11586987.0	68388.0	15051.0	164077.0	56.6	64.3508435616899	62.97970425064069	35.6491564383101	56.5768553091353	100.0	0.0	0.5906078656146654	0.0
SRS1993106	29321094.0	0.0	29321094.0	0.0	14660547.0	14660547.0	23179006.0	22377208.0	6142088.0	16394168.0	29321094.0	0.0	462693.0	0.0	0.0	98368.0	3672129728.0	1836033776.0	1836095952.0	2903267239.0	2861838786.0	0.0	0.0	41613102.0	0.01454069	125.0	125.0	125.0	126.0	126.0	126.0	35.7	626.5	230.0	10614388.0	80775.0	23738.0	469703.0	55.9	79.05232321822643	76.31777995732357	20.94767678177356	55.912538597638964	100.0	0.0	1.5780209292327225	0.0
SRS1993108	22874114.0	0.0	22874114.0	0.0	11437057.0	11437057.0	16750001.0	15611202.0	6124113.0	7959846.0	22874114.0	0.0	219021.0	0.0	0.0	84764.0	2845212325.0	1422606644.0	1422605681.0	2083218482.0	2044865180.0	0.0	0.0	34694972.0	0.01696688	124.0	124.0	124.0	126.0	126.0	126.0	34.5	732.3	311.2	7260774.0	126977.0	32924.0	384926.0	34.8	73.22688432872198	68.24833521420764	26.77311567127802	34.798488807041885	100.0	0.0	0.9575059388092585	0.0
SRS1993116	37915520.0	0.0	37915520.0	0.0	18957760.0	18957760.0	30457952.0	29330672.0	7457568.0	16743154.0	37915520.0	0.0	714737.0	0.0	0.0	141119.0	4681038955.0	2340485614.0	2340553341.0	3765888843.0	3712826484.0	0.0	0.0	65658431.0	0.01768422	123.0	123.0	123.0	126.0	126.0	126.0	35.0	670.3	347.5	13488545.0	400277.0	18542.0	757972.0	44.2	80.33109396890772	77.35795790219942	19.66890603109228	44.159104240163394	100.0	0.0	1.885077667403744	0.0
SRS1993122	37877458.0	0.0	37877458.0	0.0	18938729.0	18938729.0	27706616.0	26429864.0	10170842.0	14007862.0	37877458.0	0.0	487818.0	0.0	0.0	103638.0	4682538210.0	2341246624.0	2341291586.0	3429253396.0	3381297013.0	0.0	0.0	57357139.0	0.01696306	123.0	124.0	124.0	126.0	126.0	126.0	34.8	706.7	349.3	12285439.0	332529.0	17030.0	579934.0	37.0	73.14803437970943	69.77729075694573	26.851965620290567	36.98205407554013	100.0	0.0	1.2878847360876224	0.0
SRS1993132	36408122.0	0.0	36408122.0	0.0	18204061.0	18204061.0	30272299.0	29455230.0	6135823.0	19702078.0	36408122.0	0.0	979458.0	0.0	0.0	136956.0	4471679524.0	2235764186.0	2235915338.0	3724060824.0	3668881362.0	0.0	0.0	74342453.0	0.02026298	122.0	123.0	123.0	126.0	126.0	126.0	36.0	575.8	338.4	13304159.0	555452.0	10341.0	857663.0	54.1	83.14710382480041	80.9029095211228	16.85289617519959	54.11451323965571	100.0	0.0	2.690218407859653	0.0
SRS1993134	21783020.0	0.0	21783020.0	0.0	10891510.0	10891510.0	13144018.0	12520588.0	8639002.0	11631166.0	21783020.0	0.0	188955.0	0.0	0.0	74581.0	2699240565.0	1349588042.0	1349652523.0	1632359069.0	1574324113.0	0.0	0.0	44798230.0	0.02845553	123.0	124.0	124.0	126.0	126.0	126.0	37.4	345.8	188.7	5879819.0	178332.0	8755.0	193388.0	53.4	60.34065983504583	57.47865998378554	39.65934016495417	53.39556223149958	100.0	0.0	0.8674417045937615	0.0
SRS1993140	25917592.0	0.0	25917592.0	0.0	12958796.0	12958796.0	21019407.0	20799378.0	4898185.0	19989740.0	25917592.0	0.0	328228.0	0.0	0.0	74414.0	3170650992.0	1585289640.0	1585361352.0	2581437232.0	2555454088.0	0.0	0.0	30876886.0	0.01208274	122.0	122.0	122.0	126.0	126.0	126.0	37.8	307.9	178.2	9799625.0	502577.0	14730.0	82757.0	77.1	81.10092557981467	80.25196939592227	18.899074420185332	77.12807578728764	100.0	0.0	1.2664293812480727	0.0
SRS1993148	28696022.0	0.0	28696022.0	0.0	14348011.0	14348011.0	21413888.0	21052206.0	7282134.0	19950118.0	28696022.0	0.0	115118.0	0.0	0.0	84923.0	3534326530.0	1767127753.0	1767198777.0	2638571443.0	2607594151.0	0.0	0.0	26354575.0	0.01010686	123.0	123.0	123.0	126.0	126.0	126.0	37.2	342.2	199.0	10015543.0	431081.0	14350.0	65129.0	69.5	74.62319341684363	73.36280269090956	25.37680658315637	69.5222424906142	100.0	0.0	0.40116361773070847	0.0
SRS1993150	23859170.0	0.0	23859170.0	0.0	11929585.0	11929585.0	18988044.0	18625458.0	4871126.0	16905056.0	23859170.0	0.0	298050.0	0.0	0.0	67487.0	2974672976.0	1487313071.0	1487359905.0	2368223518.0	2338333302.0	0.0	0.0	25735866.0	0.01100607	124.0	125.0	125.0	126.0	126.0	126.0	36.9	411.2	214.3	8982954.0	140605.0	7832.0	181338.0	70.9	79.58384134904945	78.06414892051987	20.416158650950557	70.85349574188876	100.0	0.0	1.249205232202126	0.0
SRS1993166	24657678.0	0.0	24657678.0	0.0	12328839.0	12328839.0	23314178.0	23184422.0	1343500.0	22363916.0	24657678.0	0.0	468662.0	0.0	0.0	43455.0	3036980129.0	1518450063.0	1518530066.0	2872125485.0	2859260673.0	0.0	0.0	9194913.0	0.003215836	123.0	123.0	123.0	126.0	126.0	126.0	37.8	319.0	177.9	11019752.0	496745.0	6592.0	69122.0	90.7	94.55139287649064	94.02516327774254	5.448607123509359	90.69757501091547	100.0	0.0	1.9006736968501252	0.0
SRS1993172	22856780.0	0.0	22856780.0	0.0	11428390.0	11428390.0	18395287.0	18064546.0	4461493.0	16706028.0	22856780.0	0.0	288355.0	0.0	0.0	78952.0	2841072570.0	1420506607.0	1420565963.0	2287592484.0	2258226037.0	0.0	0.0	30212782.0	0.01337899	124.0	124.0	124.0	126.0	126.0	126.0	37.1	385.5	207.5	8680947.0	205037.0	8135.0	138154.0	73.1	80.48065825544981	79.03364340908911	19.519341744550196	73.09003280427076	100.0	0.0	1.2615731524737956	0.0
